date,geo,revenue,tv_spend,digital_spend,social_spend,search_spend,display_spend,price_index,competitor_spend
2022-06-27,northeast,1400.5,0.0,147.21,100.42,139.01,0.0,99.66,237.69
2022-07-04,northeast,1266.97,201.99,79.63,68.44,98.31,0.0,99.83,319.74
2022-07-11,northeast,1331.46,182.0,90.6,109.38,76.32,40.75,99.2,131.38
2022-07-18,northeast,1296.74,97.63,146.99,28.49,91.98,44.45,99.66,282.63
2022-07-25,northeast,1348.69,140.11,82.35,70.74,133.73,73.81,99.57,199.3
2022-08-01,northeast,1318.97,0.0,64.51,107.3,91.49,25.78,99.31,341.08
2022-08-08,northeast,1186.27,132.8,111.37,68.03,76.78,0.0,99.83,354.14
2022-08-15,northeast,1190.85,115.1,157.27,0.0,99.72,47.11,99.48,349.83
2022-08-22,northeast,1206.62,0.0,128.22,83.23,67.58,0.0,98.78,246.74
2022-08-29,northeast,1090.24,0.0,112.98,0.0,54.06,0.0,98.0,331.11
2022-09-05,northeast,1104.76,0.0,55.76,77.23,57.53,0.0,98.3,325.12
2022-09-12,northeast,1198.09,213.69,118.42,73.42,56.97,72.89,97.66,206.32
2022-09-19,northeast,1169.63,230.42,163.8,101.3,58.41,0.0,98.54,314.44
2022-09-26,northeast,1126.54,0.0,60.95,26.0,57.21,0.0,97.5,135.58
2022-10-03,northeast,1199.04,224.18,106.72,0.0,94.69,72.31,98.35,253.67
2022-10-10,northeast,1221.57,156.78,150.16,105.64,60.43,0.0,98.45,168.15
2022-10-17,northeast,1197.79,206.24,133.63,0.0,72.98,25.73,98.4,139.44
2022-10-24,northeast,1251.04,206.47,128.34,62.1,115.14,0.0,98.13,125.8
2022-10-31,northeast,1220.16,0.0,129.0,76.57,83.86,0.0,98.33,258.85
2022-11-07,northeast,1217.93,0.0,107.26,0.0,99.7,42.16,98.31,178.3
2022-11-14,northeast,1235.25,244.2,93.39,0.0,62.29,0.0,98.86,262.03
2022-11-21,northeast,1237.82,147.99,171.28,0.0,64.77,0.0,98.92,117.28
2022-11-28,northeast,1294.42,122.88,188.52,53.09,53.6,0.0,99.0,173.85
2022-12-05,northeast,1351.63,95.62,164.45,73.36,65.0,0.0,98.81,225.96
2022-12-12,northeast,1298.26,198.5,175.33,0.0,75.29,23.35,98.79,285.07
2022-12-19,northeast,1379.38,214.7,117.92,107.75,68.04,0.0,98.94,185.92
2022-12-26,northeast,1348.2,91.1,116.43,0.0,61.67,67.25,98.08,258.77
2023-01-02,northeast,1225.4,0.0,140.59,0.0,65.62,0.0,97.41,321.58
2023-01-09,northeast,1354.93,0.0,122.65,69.18,97.28,72.21,97.78,267.74
2023-01-16,northeast,1331.56,208.65,128.94,0.0,75.78,69.13,97.87,188.78
2023-01-23,northeast,1312.01,0.0,140.29,0.0,91.69,47.89,97.78,147.58
2023-01-30,northeast,1325.07,217.21,151.69,82.26,106.22,0.0,97.78,337.47
2023-02-06,northeast,1372.91,160.32,84.9,0.0,125.62,0.0,97.96,153.51
2023-02-13,northeast,1387.18,263.17,89.45,102.16,64.27,0.0,97.69,342.86
2023-02-20,northeast,1459.39,113.72,55.37,0.0,139.42,36.78,97.3,267.11
2023-02-27,northeast,1451.73,151.78,113.97,105.58,123.87,65.07,97.4,356.39
2023-03-06,northeast,1371.56,109.22,48.35,0.0,70.46,16.78,96.91,323.38
2023-03-13,northeast,1414.44,0.0,100.34,75.98,150.37,0.0,97.11,364.0
2023-03-20,northeast,1534.86,252.06,109.66,58.81,155.85,40.59,96.26,217.56
2023-03-27,northeast,1398.74,136.24,78.67,0.0,69.37,49.01,96.78,304.55
2023-04-03,northeast,1462.61,211.42,115.49,98.21,91.27,0.0,97.01,219.25
2023-04-10,northeast,1438.9,240.82,47.69,25.98,144.7,0.0,97.14,231.45
2023-04-17,northeast,1394.95,0.0,48.52,0.0,138.45,37.49,97.63,259.29
2023-04-24,northeast,1386.54,187.04,143.53,0.0,81.23,61.12,98.46,309.41
2023-05-01,northeast,1418.82,0.0,87.58,93.33,83.17,43.86,98.97,330.5
2023-05-08,northeast,1401.18,0.0,59.37,108.88,98.42,0.0,98.05,280.88
2023-05-15,northeast,1390.38,255.78,107.19,35.24,108.6,43.87,97.41,202.82
2023-05-22,northeast,1433.55,256.38,137.17,74.28,120.29,0.0,97.1,203.93
2023-05-29,northeast,1319.22,0.0,70.11,55.52,94.92,0.0,97.11,275.09
2023-06-05,northeast,1389.63,0.0,119.37,107.35,102.37,0.0,97.37,168.13
2023-06-12,northeast,1243.3,0.0,54.33,0.0,127.2,41.84,97.01,143.74
2023-06-19,northeast,1185.2,0.0,50.25,0.0,60.32,71.85,97.1,202.14
2023-06-26,northeast,1278.67,255.76,108.29,0.0,78.61,38.42,96.72,192.6
2023-07-03,northeast,1368.5,253.89,109.42,58.5,117.77,0.0,96.42,200.18
2023-07-10,northeast,1345.44,233.84,121.13,46.06,131.36,54.75,95.71,191.97
2023-07-17,northeast,1254.82,0.0,131.86,26.96,96.44,0.0,95.25,155.12
2023-07-24,northeast,1361.86,0.0,162.08,98.1,96.41,56.64,94.58,154.47
2023-07-31,northeast,1162.51,118.22,106.47,93.54,59.94,0.0,94.09,371.68
2023-08-07,northeast,1111.26,256.03,83.08,0.0,86.33,0.0,94.62,251.27
2023-08-14,northeast,1251.2,201.4,140.22,109.7,91.74,0.0,94.14,243.3
2023-08-21,northeast,1155.5,89.72,76.77,70.88,67.77,0.0,95.46,308.6
2023-08-28,northeast,1149.12,0.0,97.12,89.67,68.98,21.66,95.7,206.14
2023-09-04,northeast,1135.26,0.0,53.49,0.0,76.49,76.81,95.8,364.97
2023-09-11,northeast,1075.07,0.0,47.07,96.77,48.8,0.0,95.37,325.78
2023-09-18,northeast,1150.28,118.07,160.48,43.77,71.2,52.52,95.72,168.41
2023-09-25,northeast,1115.93,190.61,145.15,61.65,62.65,0.0,95.43,235.97
2023-10-02,northeast,1173.41,0.0,128.21,33.37,71.25,61.87,95.49,332.56
2023-10-09,northeast,1136.03,0.0,93.48,105.96,55.78,29.2,96.77,342.05
2023-10-16,northeast,1140.43,129.94,64.97,0.0,113.94,70.83,96.72,232.4
2023-10-23,northeast,1159.66,0.0,62.93,42.12,92.2,0.0,97.3,260.48
2023-10-30,northeast,1136.71,132.37,74.28,81.11,99.52,28.04,96.95,159.08
2023-11-06,northeast,1119.8,0.0,149.85,76.4,109.08,18.71,96.93,338.24
2023-11-13,northeast,1245.2,227.59,171.05,0.0,87.76,0.0,97.81,170.21
2023-11-20,northeast,1254.55,209.48,153.9,31.99,56.42,0.0,97.5,326.96
2023-11-27,northeast,1336.72,246.8,87.94,81.1,93.55,20.48,98.41,264.07
2023-12-04,northeast,1358.8,210.97,199.02,0.0,99.21,63.42,98.76,257.64
2023-12-11,northeast,1374.76,194.27,165.55,0.0,114.18,43.92,98.48,240.56
2023-12-18,northeast,1306.71,105.52,127.96,0.0,89.65,48.23,98.79,183.2
2023-12-25,northeast,1397.19,156.76,145.18,0.0,65.03,43.17,99.28,176.57
2022-01-03,southeast,901.7,0.0,79.16,29.07,52.57,64.23,100.03,97.36
2022-01-10,southeast,1060.49,144.11,106.05,84.51,88.47,0.0,100.46,188.89
2022-01-17,southeast,1076.99,0.0,49.14,89.13,61.03,17.23,100.7,161.62
2022-01-24,southeast,1152.0,171.66,106.74,56.02,109.05,28.99,100.28,222.12
2022-01-31,southeast,1094.98,0.0,142.44,0.0,92.45,27.92,99.96,168.22
2022-02-07,southeast,1051.01,0.0,43.04,77.13,107.65,0.0,100.47,171.13
2022-02-14,southeast,991.08,0.0,140.11,32.29,55.71,0.0,100.31,256.73
2022-02-21,southeast,1049.79,0.0,80.52,57.2,60.0,27.29,100.1,124.95
2022-02-28,southeast,1085.96,0.0,128.99,49.3,114.52,28.46,99.63,286.53
2022-03-07,southeast,1013.63,0.0,119.76,30.12,60.01,0.0,99.84,275.06
2022-03-14,southeast,1144.81,191.61,97.25,46.93,60.34,37.75,100.87,237.25
2022-03-21,southeast,1141.72,222.81,115.17,0.0,55.47,0.0,100.34,219.59
2022-03-28,southeast,1166.06,0.0,129.8,20.96,138.09,17.67,100.35,272.4
2022-04-04,southeast,1127.03,0.0,80.23,29.27,119.08,0.0,101.05,133.81
2022-04-11,southeast,1152.86,0.0,72.17,92.2,85.42,16.01,101.01,109.33
2022-04-18,southeast,1171.48,105.23,107.76,60.76,80.24,0.0,101.24,135.83
2022-04-25,southeast,1154.53,213.98,122.42,92.4,84.47,0.0,100.71,237.8
2022-05-02,southeast,1246.43,155.5,117.66,51.87,120.5,0.0,100.92,90.65
2022-05-09,southeast,1160.5,0.0,121.37,42.7,109.83,0.0,100.83,192.95
2022-05-16,southeast,1136.99,216.63,83.52,0.0,68.49,35.73,101.32,270.53
2022-05-23,southeast,1185.68,147.92,123.46,52.4,66.77,32.4,101.92,244.25
2022-05-30,southeast,1113.8,159.14,50.56,27.03,59.66,0.0,103.21,182.12
2022-06-06,southeast,1176.36,134.02,94.9,67.7,104.49,0.0,103.5,97.54
2022-06-13,southeast,1135.43,171.76,38.6,35.42,111.21,48.93,103.66,246.73
2022-06-20,southeast,1111.99,102.41,71.92,66.09,70.07,64.59,103.76,206.62
2022-06-27,southeast,1105.84,0.0,76.3,68.42,49.98,43.52,103.58,119.21
2022-07-04,southeast,1034.21,232.56,79.4,30.55,53.75,0.0,103.75,120.03
2022-07-11,southeast,1045.19,117.69,110.68,0.0,118.87,0.0,103.61,279.85
2022-07-18,southeast,1068.83,182.06,78.6,78.34,67.44,36.13,103.69,238.73
2022-07-25,southeast,1039.88,128.52,84.89,53.94,100.32,0.0,104.35,273.19
2022-08-01,southeast,1017.93,200.92,62.82,0.0,88.35,52.44,103.85,285.94
2022-08-08,southeast,966.97,97.14,77.0,94.61,70.01,0.0,104.42,229.98
2022-08-15,southeast,957.22,0.0,61.75,23.39,56.85,27.65,105.07,221.03
2022-08-22,southeast,957.07,149.29,45.65,71.82,50.36,0.0,105.01,204.77
2022-08-29,southeast,999.35,0.0,101.06,93.76,82.61,24.6,103.95,182.39
2022-09-05,southeast,919.6,0.0,107.83,37.18,92.24,0.0,103.65,202.89
2022-09-12,southeast,943.89,0.0,102.74,0.0,82.91,38.49,104.3,264.6
2022-09-19,southeast,898.42,159.94,86.44,28.23,75.02,0.0,104.29,228.43
2022-09-26,southeast,962.35,130.43,77.69,42.05,43.14,46.05,103.79,279.64
2022-10-03,southeast,1010.18,209.86,128.22,26.68,102.94,32.51,103.53,190.03
2022-10-10,southeast,980.83,145.59,92.24,71.6,92.09,20.21,103.96,216.87
2022-10-17,southeast,1001.45,0.0,88.07,23.73,59.6,22.15,104.23,217.46
2022-10-24,southeast,941.7,175.67,40.68,57.72,104.87,26.02,104.11,206.44
2022-10-31,southeast,993.75,190.14,73.66,0.0,80.86,27.36,103.93,224.76
2022-11-07,southeast,1035.16,102.98,104.69,80.86,80.44,0.0,103.73,134.52
2022-11-14,southeast,1086.56,103.07,97.77,65.76,92.64,43.57,103.27,185.94
2022-11-21,southeast,1142.33,81.92,128.24,42.28,98.33,0.0,104.08,108.67
2022-11-28,southeast,1099.08,194.93,105.82,66.42,89.09,0.0,103.92,163.3
2022-12-05,southeast,1111.93,183.2,130.68,59.06,53.25,0.0,104.52,185.3
2022-12-12,southeast,1126.35,152.65,145.71,51.38,69.31,0.0,105.28,219.88
2022-12-19,southeast,1136.78,212.33,156.89,0.0,113.8,17.79,105.78,280.61
2022-12-26,southeast,1213.22,206.12,130.05,86.38,63.4,51.23,105.57,218.69
2023-01-02,southeast,1150.64,170.53,137.85,53.18,75.78,42.65,105.77,250.67
2023-01-09,southeast,1026.41,216.23,39.91,0.0,81.79,18.52,105.76,210.4
2023-01-16,southeast,1092.19,109.24,58.46,0.0,83.8,0.0,105.31,239.25
2023-01-23,southeast,1046.99,94.08,38.79,50.47,99.09,0.0,105.47,136.29
2023-01-30,southeast,1185.49,119.56,105.66,81.89,127.48,0.0,104.88,174.47
2023-02-06,southeast,1170.37,0.0,131.84,74.75,71.4,0.0,105.47,197.29
2023-02-13,southeast,1034.45,0.0,63.44,0.0,62.38,0.0,105.24,219.68
2023-02-20,southeast,1104.57,227.26,134.88,0.0,69.53,0.0,105.34,138.86
2023-02-27,southeast,1140.32,82.35,44.3,50.63,129.09,38.4,105.48,155.97
2023-03-06,southeast,1173.92,95.72,135.65,0.0,109.41,35.76,105.35,180.11
2023-03-13,southeast,1128.43,0.0,74.74,20.46,78.94,48.26,105.65,309.35
2023-03-20,southeast,1171.24,0.0,48.6,38.75,125.46,42.75,105.41,184.22
2023-03-27,southeast,1234.03,127.06,88.77,76.78,129.79,17.5,105.84,208.84
2023-04-03,southeast,1169.47,0.0,64.83,0.0,128.61,0.0,105.17,150.24
2023-04-10,southeast,1165.29,82.71,67.77,59.68,134.81,56.38,105.23,224.76
2023-04-17,southeast,1140.39,99.96,70.11,0.0,76.38,38.25,106.2,158.04
2023-04-24,southeast,1073.37,0.0,121.92,0.0,119.59,0.0,105.7,140.54
2023-05-01,southeast,1073.47,0.0,94.34,37.33,93.46,0.0,105.36,196.6
2023-05-08,southeast,1154.13,0.0,70.53,93.17,125.26,24.77,105.62,97.65
2023-05-15,southeast,1145.74,0.0,101.78,79.92,114.41,0.0,105.71,97.24
2023-05-22,southeast,1136.66,179.22,112.84,91.93,117.1,22.86,105.89,137.68
2023-05-29,southeast,1108.37,0.0,66.49,56.08,105.67,31.5,106.13,104.41
2023-06-05,southeast,1093.37,149.44,81.22,27.34,65.24,0.0,106.45,120.36
2023-06-12,southeast,1030.39,0.0,50.74,0.0,93.65,0.0,107.0,167.54
2023-06-19,southeast,1040.91,154.95,56.93,53.53,126.73,0.0,107.21,259.69
2023-06-26,southeast,1083.53,0.0,109.18,83.17,120.89,0.0,107.09,220.45
2023-07-03,southeast,990.9,98.55,56.96,26.45,50.78,0.0,107.42,213.99
2023-07-10,southeast,1029.34,0.0,92.88,56.11,58.94,59.74,108.37,177.17
2023-07-17,southeast,1014.87,125.73,112.1,30.4,55.45,0.0,108.31,303.0
2023-07-24,southeast,993.76,0.0,49.17,43.68,97.21,37.83,107.82,205.44
2023-07-31,southeast,967.39,108.6,97.28,0.0,102.01,0.0,108.37,149.87
2023-08-07,southeast,997.51,184.76,64.81,55.18,58.3,54.59,108.31,252.97
2023-08-14,southeast,995.84,232.64,138.63,0.0,77.4,0.0,107.23,158.73
2023-08-21,southeast,943.74,91.16,88.53,0.0,98.89,0.0,107.65,202.97
2023-08-28,southeast,987.15,0.0,122.23,53.92,90.45,38.49,107.38,232.97
2023-09-04,southeast,1007.87,147.67,95.5,0.0,76.93,61.76,107.34,300.81
2023-09-11,southeast,954.09,0.0,42.54,86.8,79.41,0.0,107.5,225.72
2023-09-18,southeast,933.61,104.61,104.16,0.0,73.59,40.26,107.6,261.89
2023-09-25,southeast,982.59,187.86,137.42,78.8,59.67,0.0,107.95,313.09
2023-10-02,southeast,912.41,0.0,100.87,0.0,76.88,0.0,107.74,145.16
2023-10-09,southeast,926.3,0.0,123.61,0.0,84.99,0.0,107.99,168.11
2023-10-16,southeast,932.72,186.34,130.4,0.0,97.29,0.0,107.86,186.87
2023-10-23,southeast,935.3,156.29,61.83,0.0,82.41,54.78,108.23,188.56
2023-10-30,southeast,970.95,0.0,60.16,82.91,91.35,0.0,108.54,183.74
2023-11-06,southeast,872.93,0.0,134.55,21.92,52.3,0.0,108.07,276.24
2023-11-13,southeast,1045.3,168.15,110.0,87.53,73.31,41.59,108.62,238.64
2023-11-20,southeast,1038.66,80.91,146.52,54.07,43.41,29.25,108.35,218.76
2023-11-27,southeast,1106.57,226.35,149.05,67.43,60.6,0.0,108.75,163.41
2023-12-04,southeast,1182.77,187.36,82.96,69.11,95.55,44.43,108.94,263.55
2023-12-11,southeast,1165.69,185.26,81.11,0.0,116.34,0.0,109.85,291.81
2023-12-18,southeast,1172.16,110.83,153.3,67.39,53.06,55.94,109.74,270.42
2023-12-25,southeast,1158.9,182.41,84.33,0.0,76.6,34.94,109.57,119.25
2022-01-03,midwest,758.18,118.79,97.0,0.0,50.07,0.0,99.7,193.18
2022-01-10,midwest,837.73,104.16,59.78,0.0,60.91,48.87,98.59,146.34
2022-01-17,midwest,904.88,95.6,88.75,25.7,60.67,49.79,99.04,124.52
2022-01-24,midwest,865.42,102.22,66.77,0.0,100.86,0.0,99.68,186.81
2022-01-31,midwest,912.14,173.27,94.76,50.5,88.84,0.0,100.01,242.61
2022-02-07,midwest,901.46,190.38,49.53,34.08,98.74,0.0,99.44,244.79
2022-02-14,midwest,961.82,119.09,110.34,43.21,61.6,19.06,99.34,151.99
2022-02-21,midwest,905.89,0.0,57.29,18.4,88.97,0.0,99.33,181.94
2022-02-28,midwest,965.93,107.72,64.37,24.18,86.05,19.89,99.63,130.69
2022-03-07,midwest,928.25,128.8,37.11,64.99,105.69,42.53,99.97,254.57
2022-03-14,midwest,941.32,94.74,41.81,0.0,111.73,22.1,99.6,249.92
2022-03-21,midwest,962.14,151.1,77.4,42.66,46.72,0.0,99.64,193.92
2022-03-28,midwest,964.53,197.14,55.55,0.0,95.52,19.27,99.87,215.33
2022-04-04,midwest,991.03,0.0,105.52,0.0,49.82,0.0,100.6,197.45
2022-04-11,midwest,919.81,112.66,33.29,0.0,86.31,0.0,100.95,174.34
2022-04-18,midwest,928.32,152.1,65.36,0.0,66.92,44.23,101.34,84.6
2022-04-25,midwest,952.35,0.0,61.69,35.47,68.0,34.66,101.39,145.88
2022-05-02,midwest,842.39,0.0,33.7,0.0,70.9,0.0,102.09,178.76
2022-05-09,midwest,858.86,0.0,42.94,0.0,89.61,0.0,102.3,177.64
2022-05-16,midwest,875.52,125.11,68.4,16.09,68.27,0.0,101.87,128.24
2022-05-23,midwest,922.44,0.0,75.37,62.68,95.54,0.0,102.57,219.45
2022-05-30,midwest,911.67,148.97,67.58,77.88,71.5,0.0,102.92,96.71
2022-06-06,midwest,885.91,73.76,78.72,30.35,47.47,0.0,102.7,152.02
2022-06-13,midwest,899.88,156.84,84.37,58.44,94.96,0.0,102.46,185.29
2022-06-20,midwest,928.44,96.9,32.87,63.48,60.38,16.64,102.6,189.7
2022-06-27,midwest,900.93,161.1,72.84,70.3,68.92,21.78,102.84,185.78
2022-07-04,midwest,973.33,175.86,116.79,43.05,83.87,34.85,102.93,130.1
2022-07-11,midwest,866.8,0.0,77.67,0.0,60.17,0.0,103.09,115.11
2022-07-18,midwest,836.77,0.0,91.62,36.82,42.06,22.8,103.94,195.71
2022-07-25,midwest,815.3,0.0,59.44,61.61,60.53,14.54,104.48,193.26
2022-08-01,midwest,860.71,83.43,100.11,68.27,93.44,29.21,104.57,128.85
2022-08-08,midwest,753.91,0.0,100.02,27.62,74.16,22.3,105.04,215.01
2022-08-15,midwest,776.55,100.91,77.87,0.0,74.72,21.66,104.53,176.17
2022-08-22,midwest,825.45,0.0,117.89,73.72,71.43,54.23,104.72,210.41
2022-08-29,midwest,759.24,102.66,43.05,67.63,46.23,0.0,105.63,236.86
2022-09-05,midwest,727.23,0.0,33.49,79.03,57.9,36.5,105.52,128.48
2022-09-12,midwest,816.91,149.62,99.77,64.27,75.71,30.29,105.1,102.06
2022-09-19,midwest,788.19,0.0,103.03,0.0,39.72,30.87,104.77,220.71
2022-09-26,midwest,762.0,0.0,42.58,53.8,49.18,35.8,104.22,190.24
2022-10-03,midwest,741.11,107.19,55.37,58.3,49.03,0.0,103.83,201.03
2022-10-10,midwest,741.14,64.02,33.54,21.02,57.58,0.0,103.65,219.6
2022-10-17,midwest,742.67,0.0,57.81,50.85,87.78,19.55,102.94,210.57
2022-10-24,midwest,726.76,70.37,100.04,61.4,38.1,34.0,102.95,232.92
2022-10-31,midwest,736.5,0.0,77.58,26.71,63.47,30.13,103.4,162.6
2022-11-07,midwest,822.75,160.15,84.06,65.96,45.12,0.0,102.95,153.45
2022-11-14,midwest,859.03,72.53,80.11,53.36,90.66,0.0,103.71,138.9
2022-11-21,midwest,876.7,178.15,40.6,76.94,42.55,35.43,103.96,99.43
2022-11-28,midwest,860.07,64.52,71.8,0.0,60.22,17.08,104.48,167.61
2022-12-05,midwest,939.94,97.57,98.95,0.0,81.14,38.65,104.15,122.34
2022-12-12,midwest,939.34,0.0,135.36,54.5,80.57,0.0,104.58,228.22
2022-12-19,midwest,959.01,107.01,131.44,0.0,64.65,26.84,104.03,177.53
2022-12-26,midwest,876.33,0.0,39.62,61.72,61.05,0.0,104.48,182.91
2023-01-02,midwest,901.57,112.99,111.07,64.58,65.45,42.45,104.56,148.9
2023-01-09,midwest,811.97,0.0,100.92,0.0,57.94,0.0,104.84,104.5
2023-01-16,midwest,856.37,0.0,100.67,0.0,55.05,0.0,104.25,105.1
2023-01-23,midwest,838.22,106.62,72.3,0.0,74.69,51.41,103.8,171.16
2023-01-30,midwest,884.11,0.0,67.02,39.63,61.17,20.99,104.1,119.75
2023-02-06,midwest,838.2,0.0,58.66,75.71,63.37,0.0,103.63,205.34
2023-02-13,midwest,874.63,123.0,37.78,0.0,90.19,30.45,103.86,250.35
2023-02-20,midwest,881.05,0.0,52.08,60.62,113.44,0.0,103.18,250.9
2023-02-27,midwest,910.48,115.32,53.7,61.72,88.34,0.0,103.6,214.39
2023-03-06,midwest,933.02,195.11,74.6,45.55,50.89,0.0,102.98,141.18
2023-03-13,midwest,922.82,0.0,97.78,74.94,51.13,0.0,103.26,243.14
2023-03-20,midwest,1013.07,157.43,73.7,60.45,115.58,36.67,103.57,243.89
2023-03-27,midwest,919.45,0.0,37.09,62.65,67.82,0.0,103.23,130.21
2023-04-03,midwest,913.96,0.0,116.29,0.0,52.78,0.0,103.52,213.13
2023-04-10,midwest,1006.94,150.05,114.96,33.54,90.0,23.14,103.65,137.39
2023-04-17,midwest,941.44,0.0,101.1,67.65,91.55,0.0,103.38,216.6
2023-04-24,midwest,949.08,64.59,119.24,28.5,92.94,43.83,102.87,244.79
2023-05-01,midwest,941.85,86.71,79.91,38.1,64.7,0.0,101.89,87.71
2023-05-08,midwest,955.51,0.0,116.72,37.48,46.02,48.79,102.07,224.93
2023-05-15,midwest,911.95,0.0,38.65,78.63,113.19,0.0,101.28,180.28
2023-05-22,midwest,880.98,195.38,64.18,0.0,61.63,0.0,101.33,236.63
2023-05-29,midwest,937.37,167.5,51.83,60.87,90.36,0.0,101.2,156.45
2023-06-05,midwest,844.13,0.0,49.23,0.0,91.17,0.0,101.54,219.66
2023-06-12,midwest,887.38,0.0,44.39,51.97,83.24,0.0,101.39,96.85
2023-06-19,midwest,889.03,0.0,86.77,76.61,62.18,31.86,101.22,143.92
2023-06-26,midwest,872.92,78.33,100.76,47.76,58.39,20.07,101.59,104.84
2023-07-03,midwest,868.95,170.33,82.89,40.35,78.25,49.62,101.76,254.23
2023-07-10,midwest,839.22,151.6,44.93,0.0,93.7,50.83,101.92,232.95
2023-07-17,midwest,874.84,0.0,103.38,66.32,96.98,0.0,102.15,242.48
2023-07-24,midwest,855.49,112.97,87.96,63.0,44.29,0.0,101.38,259.56
2023-07-31,midwest,789.14,194.12,66.16,0.0,46.43,0.0,101.76,125.89
2023-08-07,midwest,800.47,0.0,91.32,0.0,91.9,0.0,102.07,176.0
2023-08-14,midwest,749.33,122.85,54.87,0.0,78.47,51.68,101.56,126.82
2023-08-21,midwest,771.36,0.0,62.38,16.73,85.68,20.95,101.44,149.42
2023-08-28,midwest,735.26,0.0,112.74,0.0,46.43,0.0,101.42,151.7
2023-09-04,midwest,715.71,0.0,57.56,78.1,67.3,0.0,101.35,188.5
2023-09-11,midwest,760.42,114.29,73.36,44.01,72.97,29.13,101.52,154.08
2023-09-18,midwest,779.93,71.12,110.33,31.04,71.36,35.84,102.23,124.33
2023-09-25,midwest,766.35,0.0,94.28,61.11,56.28,0.0,102.77,131.6
2023-10-02,midwest,712.12,0.0,37.47,68.3,34.84,14.93,102.12,124.77
2023-10-09,midwest,663.1,0.0,44.96,50.97,65.8,40.53,102.43,253.3
2023-10-16,midwest,666.33,179.65,32.69,0.0,48.01,0.0,103.09,215.72
2023-10-23,midwest,710.13,0.0,87.52,19.31,59.16,0.0,103.29,246.13
2023-10-30,midwest,781.89,0.0,71.4,48.31,87.83,47.37,103.83,159.33
2023-11-06,midwest,724.61,128.23,48.85,61.98,57.45,31.07,104.84,131.95
2023-11-13,midwest,879.86,183.7,157.36,0.0,83.22,55.88,105.35,214.45
2023-11-20,midwest,858.23,93.34,109.61,27.47,46.89,0.0,105.47,139.15
2023-11-27,midwest,927.86,156.18,71.29,67.2,75.96,0.0,106.0,136.01
2023-12-04,midwest,904.61,146.65,103.14,0.0,95.38,21.68,106.07,127.33
2023-12-11,midwest,904.49,104.16,107.65,0.0,44.05,27.42,106.08,113.67
2023-12-18,midwest,879.08,82.58,53.74,24.43,39.08,0.0,105.91,137.37
2023-12-25,midwest,883.52,152.62,65.11,71.38,66.52,15.02,106.69,157.02
2022-01-03,west,1107.74,0.0,174.47,0.0,70.13,40.13,100.11,282.65
2022-01-10,west,1106.63,0.0,77.1,28.84,118.32,0.0,100.56,186.65
2022-01-17,west,1398.72,177.5,164.98,109.48,116.29,24.5,100.42,341.38
2022-01-24,west,1502.82,162.67,171.33,79.38,86.82,0.0,101.07,177.49
2022-01-31,west,1468.68,98.21,168.97,78.14,129.68,0.0,101.23,154.02
2022-02-07,west,1525.77,264.62,131.87,72.03,150.55,66.09,101.33,316.38
2022-02-14,west,1513.6,259.4,131.14,30.66,70.36,38.81,100.69,260.04
